agr_name;agr_participant;cri_inst_name_all;cri_inst_id;publisher_standard_name;edvarda_participant_id;agr_inst_tag
oupj;NORCE Norwegian Research Centre AS;NORCE Norwegian Research Centre AS;2057;Oxford University Press;50928;norce
oupj;Norges Bank;NA;NA;Oxford University Press;15472;nbank
oupj;Norges miljø- og biovitenskapelige universitet;Norges miljø- og biovitenskapelige universitet;192;Oxford University Press;15493;nmbu
oupj;Norges teknisk-naturvitenskapelige universitet;Norges teknisk-naturvitenskapelige universitet;194;Oxford University Press;15507;ntnu
oupj;Norges teknisk-naturvitenskapelige universitet;St. Olavs Hospital HF;1920;Oxford University Press;15507;ntnu02
oupj;OsloMet - Storbyuniversitetet;OsloMet - storbyuniversitetet;215;Oxford University Press;15439;oslomet
oupj;UiO : Universitetsbiblioteket;Universitetet i Oslo;185;Oxford University Press;15550;uio
oupj;UiO : Universitetsbiblioteket;Akershus universitetssykehus HF;1972;Oxford University Press;15550;uio02
oupj;UiO : Universitetsbiblioteket;Oslo universitetssykehus HF;2012;Oxford University Press;15550;uio03
oupj;UiO : Universitetsbiblioteket;Kreftregisteret - Institutt for populasjonsbasert kreftforskning;5737;Oxford University Press;15550;uio04
oupj;UiO : Universitetsbiblioteket;Folkehelseinstituttet;7502;Oxford University Press;15550;uio05
oupj;UiT - Norges arktiske universitet;UiT Norges arktiske universitet;186;Oxford University Press;15552;uit
oupj;UiT - Norges arktiske universitet;Universitetssykehuset Nord-Norge HF;1902;Oxford University Press;15552;uit02
oupj;Universitetet i Bergen;Universitetet i Bergen;184;Oxford University Press;15549;uib
oupj;Universitetet i Bergen;Helse Bergen HF - Haukeland universitetssykehus;1936;Oxford University Press;15549;uib02
sage;Barne-, ungdoms- og familiedirektoratet;NA;NA;SAGE;15356;bufdir
sage;Bergen Global, Chr. Michelsens Institutt;Chr. Michelsen Institute;7416;SAGE;15355;cmi
sage;Dronning Mauds Minne Høgskole For Barnehagelærerutdanning;Dronning Mauds Minne Høgskole for barnehagelærerutdanning;253;SAGE;15360;dmmh
sage;Forskningsstiftelsen Fafo;Forskningsstiftelsen Fafo;7425;SAGE;15362;fafo
sage;Handelshøyskolen BI;Handelshøyskolen BI;158;SAGE;15353;bi
sage;Høgskolen I Innlandet;Høgskolen i Innlandet;209;SAGE;15428;inn
sage;Høgskolen i Molde - Vitenskapelig høgskole i logistikk;Høgskolen i Molde - Vitenskapelig høgskole i logistikk;211;SAGE;15435;himolde
sage;Høgskolen i Østfold;Høgskolen i Østfold;224;SAGE;15443;hioef
sage;Høgskulen i Volda;Høgskulen i Volda;223;SAGE;15450;hvo
sage;Høgskulen På Vestlandet;Høgskulen på Vestlandet;203;SAGE;15449;hvl
sage;Høyskolen Kristiania - Ernst G Mortensens Stiftelse;Høyskolen Kristiania;1615;SAGE;15444;hk
sage;Institutt For Fredsforskning;PRIO - Institutt for fredsforskning;7435;SAGE;15516;prio
sage;Institutt For Samfunnsforskning;Institutt for samfunnsforskning;7437;SAGE;15455;isf
sage;Lovisenberg Diakonale Høgskole;Lovisenberg diakonale høgskole;230;SAGE;15464;ldh
sage;NIBIO;Norsk institutt for bioøkonomi;7677;SAGE;15481;nibio
sage;Nofima;NOFIMA;7543;SAGE;15496;nofima
sage;NORCE Norwegian Research Centre AS;NORCE Norwegian Research Centre AS;2057;SAGE;50928;norce
sage;Nord Universitet;Nord universitet;204;SAGE;15499;nord
sage;Nordlandsforskning;Nordlandsforskning;7446;SAGE;15474;nf
sage;Norges Idrettshøgskole - Biblioteket;Norges idrettshøgskole;150;SAGE;15485;nih
sage;Norges miljø- og biovitenskapelige universitet;Norges miljø- og biovitenskapelige universitet;192;SAGE;15493;nmbu
sage;Norges teknisk-naturvitenskapelige universitet;Norges teknisk-naturvitenskapelige universitet;194;SAGE;15507;ntnu
sage;Norges teknisk-naturvitenskapelige universitet;St. Olavs Hospital HF;1920;SAGE;15507;ntnu02
sage;Norsk institutt for naturforskning;Norsk institutt for naturforskning;7511;SAGE;15489;nina
sage;NUBU - Nasjonalt utviklingssenter for barn og unge;NA;NA;SAGE;51031;nubu
sage;Oslo Nye Høyskole;Oslo Nye Høyskole;1620;SAGE;51024;bh
sage;OsloMet - Storbyuniversitetet;OsloMet - storbyuniversitetet;215;SAGE;15439;oslomet
sage;Regionsenter for barn og unges psykiske helse, helseregion Øst og Sør;RBUP Øst og Sør;7539;SAGE;15519;rbupos
sage;Riksrevisjonen;NA;NA;SAGE;15522;riksrevisjonen
sage;SINTEF AS;SINTEF Narvik;6228;SAGE;15526;sintef
sage;SINTEF AS;SINTEF AS;7401;SAGE;15526;sintef02
sage;SINTEF AS;SINTEF Energi AS;7548;SAGE;15526;sintef03
sage;SINTEF AS;SINTEF Ocean;7566;SAGE;15526;sintef04
sage;SINTEF AS;SINTEF Manufacturing;7630;SAGE;15526;sintef05
sage;Statped;NA;NA;SAGE;15539;statped
sage;UiO : Universitetsbiblioteket;Universitetet i Oslo;185;SAGE;15550;uio
sage;UIO: Universitetsbiblioteket (OUS-avtaler);Oslo universitetssykehus HF;2012;SAGE;15511;ous
sage;UiT - Norges arktiske universitet;UiT Norges arktiske universitet;186;SAGE;15552;uit
sage;UiT - Norges arktiske universitet;Universitetssykehuset Nord-Norge HF;1902;SAGE;15552;uit02
sage;Universitetet i Agder;Universitetet i Agder;201;SAGE;15548;uia
sage;Universitetet i Bergen;Universitetet i Bergen;184;SAGE;15549;uib
sage;Universitetet i Bergen;Helse Bergen HF - Haukeland universitetssykehus;1936;SAGE;15549;uib02
sage;Universitetet I Stavanger;Universitetet i Stavanger;217;SAGE;15551;uis
